commit,author_date,origin,subject,coverage,disposition,notes
07f7a31894044e781ffa725f211de18b214cf30d,2026-09-18T04:52:25+10:00,inherited,fix(core): don't panic on crit heals that have no DefenseType,engine-reviewed,already correct,Helpful no-defense spells use the magic healing crit multiplier rather than panic; existing outcome regression covers this branch.
50ec0f87256362f83394e09df5af09380c9d7c4b,2026-09-18T04:54:37+10:00,inherited,Merge pull request #199 from ElliotWood/fix/blood-craze-crit-multiplier,merge-no-independent-resolution,,
606bc4d89739103edcd6a6852fb6c103d552d2ad,2026-09-18T04:54:50+10:00,inherited,Merge pull request #198 from ElliotWood/data/wowhead-forever,merge-no-independent-resolution,,
ac9126d72a37077d3938c388f91f7fd9651f6551,2026-09-17T18:55:35Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
88fd19d6462f89733daa5625dac9b967292d0ddd,2026-09-18T05:29:41+10:00,inherited,fix(core): raid buffs and debuffs from the Forever beta client,engine-reviewed,fixed; some superseded,Client buff values reconciled with 70009 and levels: Blood Pact omitted level growth (W14). Later commits replace Windfury/Grace and remove the CoR dummy AP effect; do not restore these historical constants.
ac9998872085b968bc3f4e00f484b386843f6985,2026-09-18T05:29:56+10:00,inherited,tools: keep the buff-audit spell differ,integration-reviewed,,"Reviewed numeric diff helper; advisory only, not a complete semantic/attribute diff."
4534a3ed5cc226c61fa6d960dac1bc7bb0b90eb6,2026-09-18T05:34:54+10:00,inherited,fix(core): rage conversion used XOR where it meant a square,engine-reviewed,already correct,Integer XOR was a real arithmetic error. Current Forever Warrior outgoing rage bypasses this damage conversion; Classic/non-Warrior fallback still needs the squared term.
884c90d018a2986302cc6ec6d64e3fc2ec0b3c0a,2026-09-18T05:48:05+10:00,inherited,fix(core): debuffs from the Forever beta client,engine-reviewed,already correct; assumptions retained,"JoW duration, Weakness base and Demo values match captured effects/duration with level growth. JoW proc chance remains T55, not proven by its mana-return constant."
3d4229afcc385b4b6b439b50558797e04d1e9053,2026-09-18T06:02:43+10:00,inherited,fix(item sets): dungeon set 1 from the Forever beta client,engine-reviewed,fixed; unresolved procs retained,Direct set stats now flow through catalog piece counts. Nature’s Bounty routing/ticks corrected in W7; passive MP5 omission corrected in W11. Unverified procs are not enabled by catalog availability.
030e09261d1bbc0cfd5e9b22013fbc8bffa97da9,2026-09-18T06:07:35+10:00,inherited,fix(items): Hand of Justice procs at 1% in Forever,engine-reviewed,supported amount; rate limits disclosed,15600 tooltip divides chance by three for non-Dwarves; current 1% follows that text. Inherited ICD/eligible events are not independently established. Item is absent from modeled rankings.
5efd61ef58f1dd77ebe7d3d89e3fb7e48eb875df,2026-09-18T06:16:19+10:00,inherited,build: find wasm_exec.js on Go 1.24 and newer,integration-reviewed,,Go 1.24 wasm_exec layout checked; current native/WASM tank parity passes.
3571a9207e464c7649979f89618915e03d29e674,2026-09-18T08:08:32+10:00,inherited,fix(item sets): dungeon set 2 from the Forever beta client,engine-reviewed,fixed; unresolved procs retained,Dungeon-2 source changes compared with current catalog override/fallback routing; W7 repairs Feralheart fallback. Actual equipment counts remain required.
49d10bd238ad851efda54d2d9b11303e54e6d39a,2026-09-18T08:08:59+10:00,inherited,Merge pull request #200 from ElliotWood/fix/core-buffs-beta,merge-no-independent-resolution,,
00b11e3aef2f1521970ab568a66e67724721de64,2026-09-18T08:09:07+10:00,inherited,Merge pull request #201 from ElliotWood/fix/rage-conversion-xor,merge-no-independent-resolution,,
915cd1869872fa24474778381651a27883ac5d0c,2026-09-18T08:09:17+10:00,inherited,Merge pull request #202 from ElliotWood/fix/core-debuffs-beta,merge-no-independent-resolution,,
7ac42bac3b182f94ff07477fc94fbf67a8576933,2026-09-18T08:09:24+10:00,inherited,Merge pull request #203 from ElliotWood/fix/dungeon-set-1-beta,merge-no-independent-resolution,,
607f572e1149bf360d47d37043d5a9aaf65b6177,2026-09-18T08:09:33+10:00,inherited,Merge pull request #205 from ElliotWood/fix/wasm-exec-path,merge-no-independent-resolution,,
c95f2fc08a45fa5a039a39d7e770f125358e549e,2026-09-18T08:09:42+10:00,inherited,Merge pull request #206 from ElliotWood/fix/dungeon-set-2-beta,merge-no-independent-resolution,,
92c84b157c2c501fe8ea132d3b0a11ab8ae4fa30,2026-09-17T22:09:44Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
4f53f59c11b7ee58531e2985152b38a3a596edd9,2026-09-18T08:09:51+10:00,inherited,Merge pull request #204 from ElliotWood/fix/hand-of-justice-proc,merge-no-independent-resolution,,
c778a6cfa6bf6e5920ce839dcd00294a87b4af42,2026-09-17T22:10:04Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
bf5860eb36346a5e63765a973eae260f4e65b9db,2026-09-18T08:16:44+10:00,inherited,fix(item sets): the rest of the sets Forever changed,engine-reviewed,already correct; partial coverage,Generated catalog stats supersede known set IDs; real equipment limits retained. Unsupported triggered thresholds remain explicit rather than silently using old Classic bonuses.
4a2852debc0ea9dfe05517be52750e9fcd0218ff,2026-09-18T08:29:20+10:00,inherited,"fix(warrior): give Arms its own launch gear, with a two hander in it",integration-reviewed,,"Historical Arms two-hand launch layout reviewed. Current defaults use separately recorded legal modeled Arms gear, not old EP launch output."
84c825c2bf53e0057a9feb80f443ca67b8d018f0,2026-09-18T08:30:44+10:00,inherited,Merge pull request #207 from ElliotWood/fix/remaining-item-sets-beta,merge-no-independent-resolution,,
f59fd7464975c0b4fe3c36c01fe738df33d8de4e,2026-09-18T08:30:51+10:00,inherited,Merge pull request #208 from ElliotWood/fix/arms-warrior-two-hander,merge-no-independent-resolution,,
7097f3713ea5be541241ea4c5ad75c42eb840be4,2026-09-17T22:31:04Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
e7dd25972ebca740f0493886ecdfc21f51510939,2026-09-18T08:46:00+10:00,inherited,feat(ui): use the spell manifest for names Wowhead does not have,integration-reviewed,,Spell-manifest display-name fallback reviewed; no engine mechanic effect.
6fda61d26779e168b6f62d655e2a39d291e10dfa,2026-09-18T08:46:21+10:00,inherited,Merge pull request #209 from ElliotWood/feat/spell-manifest-names,merge-no-independent-resolution,,
da48f30f56c634bdbcbaab4b02ecda7982ec19a4,2026-09-17T22:46:36Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
f6e4b053e39a2a8a904b8edbc698e3c68cce368d,2026-09-18T09:06:01+10:00,inherited,feat(ui): show Forever's own tooltip on abilities Forever changed,integration-reviewed,,Forever tooltip uses non-HTML local text; missing/source-assumed data stays labeled.
75c9637132b99eda62f4b915724e5fe7f562faa1,2026-09-18T09:06:14+10:00,inherited,Merge pull request #210 from ElliotWood/feat/forever-spell-tooltips,merge-no-independent-resolution,,
15e3037b7d62503096d710161313b9b28e133f81,2026-09-17T23:06:30Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
8ee6c4cf4d10aa0cb3765854c45581996602219c,2026-09-18T09:13:18+10:00,inherited,"fix(paladin): Improved Seals scales all damage, and Judgement leaves the Seal up",engine-reviewed,supported change; open scaling question,"Judgement does not consume seals; percent modifiers now cover the whole effect. The inherited separate SoR double coefficient/two-hand multiplier needs T57 evidence, not an automatic Classic rollback."
73c8718caaee8b352540ef52748d92cc56e84ccb,2026-09-18T09:13:30+10:00,inherited,Merge pull request #211 from ElliotWood/fix/paladin-seals-and-judgement,merge-no-independent-resolution,,
f67cb51029a145389c6a57e102e95618596a2d75,2026-09-17T23:13:48Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
bd196a8b08fb09b2eea99d9d444a38cd58a86cec,2026-09-18T09:51:52+10:00,inherited,fix(warlock): Shadow Mastery applies to every shadow spell the same way,engine-reviewed,already correct,"18271 has percent damage/periodic modifiers, not old effectiveness-only effect. Current shadow damage receives one modifier; Agony cross-target state separately fixed in W6."
aa13d7d30cdf350516338ce779945634608c133f,2026-09-18T09:52:06+10:00,inherited,Merge pull request #212 from ElliotWood/fix/warlock-shadow-mastery,merge-no-independent-resolution,,
1952670daa607e38294224354216550aea5b8878,2026-09-17T23:52:22Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
2a5645efe68c5129c2cf4ac638c33869510255d8,2026-09-18T09:55:40+10:00,inherited,tools: diff talent wording between the two clients,integration-reviewed,,Talent-text discovery is explicitly advisory; tree-ID collisions and numbers are not treated as verified mechanics.
96a3130c015c0b9668b5b4aa8194c5b4a59e384f,2026-09-18T09:55:52+10:00,inherited,Merge pull request #213 from ElliotWood/tools/talent-text-diff,merge-no-independent-resolution,,
88d2935543448fadeaf913cb2c7057647c4609eb,2026-09-17T23:56:09Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
891caa019ad620f4da5e5b6ab71b5f367e5ca817,2026-09-19T00:58:06Z,inherited,data: Wowhead Forever data changed (2026-09-19),integration-reviewed,,"Planner snapshot/provenance update, not an automatic engine change. Current catalog eligibility and compiled field mapping reviewed separately. Research-helper gaps found separately in W12; historical summary is not a full semantic audit."
862c43a798b22bd6c99af80c0c8e2fed0bffce8a,2026-09-19T00:58:40Z,inherited,data: Forever client build 1.60.1.69913,integration-reviewed,,Build-discovery marker/report only; it does not import changed spell mechanics automatically. Research-helper gaps found separately in W12; historical summary is not a full semantic audit.
086784340c1434963e35b5150e676c85cba6703d,2026-09-19T10:59:19+10:00,inherited,Merge pull request #214 from ElliotWood/data/forever-client,merge-no-independent-resolution,,
1cd09ea5624cfdbe49f4824406a614f212a7d936,2026-09-19T00:59:37Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
d5ea3799404874d43feed660388134078c42a0b6,2026-09-19T11:01:06+10:00,inherited,Merge pull request #215 from ElliotWood/data/wowhead-forever,merge-no-independent-resolution,,
791ca1824023de5aff61be82133faf2da2d03d29,2026-09-19T01:01:26Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
e82a546a317c679aa1036af4963a446bb8abb177,2026-09-19T12:07:46+10:00,inherited,docs: the site still said there was no beta client,integration-reviewed,,Historical homepage wording; current homepage redirects to reviewed matrix with explicit modeled-gear limits.
8607cf3b2b781f07fcccbf5db76b976078f23a26,2026-09-19T12:08:11+10:00,inherited,Merge pull request #216 from ElliotWood/docs/where-we-are-after-the-beta-client,merge-no-independent-resolution,,
76f5fd23d561bfc97eb583b323f3e15feac5f00e,2026-09-19T02:08:27Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
7fa568b914a27c2285fb49da9e49e9c64a35e294,2026-09-19T13:01:57+10:00,inherited,tools: read the client's hotfix cache,integration-reviewed,,Hotfix cache parser reviewed; record-ID fingerprinting is tentative and does not automatically alter simulation data.
709f3fda0754db1cdde6dcbd76986594ab32e4c6,2026-09-19T13:02:09+10:00,inherited,Merge pull request #217 from ElliotWood/tools/hotfix-cache,merge-no-independent-resolution,,
96eec14e59fc83b336b2bbc819d7552c91506f02,2026-09-19T03:02:25Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
7f07a2e801348c5c878b4a465d925fb978388b75,2026-09-19T13:07:34+10:00,inherited,fix(warrior): the rotation casts Spearing Strike,integration-reviewed,,Historical Spearing Strike APL references inspected; current Fury situational profile is target-specific and separate from default.
2719b02b8ef3bd9f5b8c5eca37c046d2f0b27472,2026-09-19T13:07:48+10:00,inherited,Merge pull request #218 from ElliotWood/fix/warrior-apl-spearing-strike,merge-no-independent-resolution,,
a34fb5f45657a638eacf664ec4f1b823ec93b174,2026-09-19T03:08:04Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
740c9c3172088d1b4742a5d5ea44a353ce460e52,2026-09-19T13:10:45+10:00,inherited,"tools: read the per-table hotfix caches, which answer the question directly",integration-reviewed,,"Per-table cache inspection reports presence, not effect semantics; no automatic imports."
c7a2211c65a4aa4d6590e3a8842736ff31a3a56e,2026-09-19T13:10:59+10:00,inherited,Merge pull request #219 from ElliotWood/tools/hotfix-sidecars,merge-no-independent-resolution,,
9c6fdb60cca33182b25c9705fab53d733c0159ba,2026-09-19T03:11:15Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
3ab3d2bde0aede853dbe8d023e778cd91109bca8,2026-09-19T13:25:21+10:00,inherited,docs: say on the homepage how a number gets in and what checks it,integration-reviewed,,Historical source-policy homepage wording superseded by current review portal.
0c25ee3fb0a555e83035f0589170dac79f927e4a,2026-09-19T13:25:33+10:00,inherited,Merge pull request #220 from ElliotWood/docs/method-note,merge-no-independent-resolution,,
adbf68f42eddea32ce10a9190ea93e64716e5aec,2026-09-19T03:25:50Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
ee91b5c55356267c2574d47465efee9008d8367a,2026-09-19T14:21:11+10:00,inherited,test: stop reading damage and tick counts as spell ids (#221),engine-reviewed,test-only correction,"Test input field classification changed, not runtime spell data; no game-mechanic inference made from test metadata."
001c80841d1e0a6b68386646ef106db1dd86538b,2026-09-19T04:21:27Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
90392c8724246220e29f640b554fe2c0acffa62d,2026-09-19T14:26:00+10:00,inherited,fix: Shadow Weaving is not a raid debuff in Forever (#222),engine-reviewed,already correct,"15258 is a caster Shadow-damage buff; external raid Shadow Weaving is ignored in Forever, while Classic retains its debuff path."
88a9232142bb2b6f84b4e77b445823b44f738b36,2026-09-19T04:26:18Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
129d29cea6299d7f30be8c206c7e4d8ede3a6954,2026-09-19T14:27:11+10:00,inherited,docs(spells): classify the 41 abilities Forever left alone (#223),engine-reviewed,documentation disposition,"Unchanged spell list checked as a coverage record, not evidence that every server behavior is known; runtime spellbook gaps remain separately documented."
7e6d26b26dbae2a3cea9bffa770afdf3c3990152,2026-09-19T04:27:27Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
ec05133c5a925868998e779508f0ea9ce96be77d,2026-09-19T14:31:09+10:00,inherited,fix(items): take seven weapon procs from the beta client (#224),engine-reviewed,supported values; rate assumptions,"70009 effects checked for Rake/Rage, Lord General, Ragehammer, Jackhammer, Chosen and Second Wind. Their inherited PPM assumptions are not client-verified."
720694a91d45e434449c09e36030674ad1d2907b,2026-09-19T04:31:26Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
d8a1abfb5b550c7cd3da85e0482618aaceafb8bb,2026-09-19T14:45:44+10:00,inherited,fix(items): eight more procs off the beta client (#225),engine-reviewed,supported values; rate assumptions,"Effect values/periods for armor procs, Blaze, searing arrow, Skullforge, Volcanic and Skullflame match captured rows; zero coefficient changes do not authorize new proc chances."
17c35a3b6da50a040382027d268ace78e6ed6c10,2026-09-19T04:46:00Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
8306a8173aacf06001c33b2cd4750c10b7594ec0,2026-09-19T14:48:59+10:00,inherited,fix(items): five procs Forever redesigned rather than retuned (#226),engine-reviewed,fixed; some source uncertainty,Redesigned effect types are supported; Timmy changed again to 85 in 70009 (W13). Life-steal proc event rates remain inherited assumptions.
cd918645fc1c8415609236df5e8b3a8d95655340,2026-09-19T04:49:17Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
0911203947161c27acba01123defc3313df67dce,2026-09-19T14:52:27+10:00,inherited,fix(items): drop two procs Forever replaced with utility (#227),engine-reviewed,already correct,"19755/17330 are utility effects, not the former attribute debuff or damage DoT. Removal of those damage implementations is intentional."
90f93043460ce85f098e56ddc90bfbdb8910d66b,2026-09-19T04:52:47Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
5f38d700aff432d5a8f9425f18249a36f13ba1e3,2026-09-19T14:56:23+10:00,inherited,"fix: Battle Shout lasts 3 min in Forever, not 2 (#228)",engine-reviewed,already correct,Battle Shout 180-second base duration checked against client; current provider and explicit-APL handling prevent assuming a second free shout.
0af74e382c3de9f9fd17556b0f04ffa8763f3900,2026-09-19T04:56:40Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
3db61dab4ea9d509494160e2466d2683f31d7416,2026-09-19T14:59:58+10:00,inherited,fix: stop putting deleted spell ids on Shadow Weaving (#229),engine-reviewed,already correct,"Forever uses caster buff 15258, not removed Classic rank IDs. Legacy raid debuff is confined to the Classic branch."
69be29ff4403bbd6c6da9bcc85b5b814827450b8,2026-09-19T05:00:16Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
bd4228ec82fe95edc475d6d2668c3b5bb9e3daa0,2026-09-19T15:06:00+10:00,inherited,fix: stop applying the improved shout talent twice (#230),engine-reviewed,already correct,Demo AP reduction includes level scaling once; deleted Improved Demo/Feral Aggression modifiers are not reapplied. Current tank shout threat has its later sourced correction.
39c833a7ead9bcae07df791ff8cfa713d7c7b2e7,2026-09-19T05:06:21Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
f75746ee3b3862f89523cf37f22c0609ac8a5340,2026-09-19T15:17:04+10:00,inherited,feat(site): ask beta players for in-game numbers (#231),integration-reviewed,,Submission instructions reviewed; no private logs used for this audit or automatically published.
9c5406f5983437fff51d1ddff311ee3fba925de9,2026-09-19T05:17:22Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
427b73d93341673b8bc03e0aeecf3a0bc388a19a,2026-09-19T15:23:03+10:00,inherited,feat(site): ask for the client's hotfix cache instead of a damage meter (#232),integration-reviewed,,Hotfix submission copy reviewed; current fork has no upload collector (W10).
ed189887a7f2d6d120240382293fdc4ae382b183,2026-09-19T05:23:20Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
0bf2b47027f417fbf777130d7ce848e446c534fc,2026-09-19T15:33:33+10:00,inherited,"fix(site): remove the Discord link, it is not this project's (#233)",integration-reviewed,,Removed unrelated Discord link; no mechanic effect. Current homepage has upstream attribution only.
c25e8bfa8638227af6378155d7c628ecb244d7c4,2026-09-19T05:33:50Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
6a2f79ca843e58a9b32cfbad6d9590fe1708834a,2026-09-19T15:38:26+10:00,inherited,feat(site): collapse the homepage and design the call to action properly (#234),integration-reviewed,,Homepage layout changes superseded by current matrix redirect; no engine effect.
c601a3599efbf2c19afe1d472cb96f8342760c28,2026-09-19T05:38:43Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
f01728bbb81b2e84733fc74ead9fc9c83ab2669b,2026-09-19T15:45:18+10:00,inherited,tools: read the client's own damage meter cache (#235),integration-reviewed,,Damage-meter parser/scrubber reviewed; short/UTF-8 names were missed (W10).
734f839825ed1afd744ae018933e43fe00f03842,2026-09-19T05:45:35Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
cbcff5df9125be2dd34629677724c130e8e0b833,2026-09-19T16:19:47+10:00,inherited,"feat(site): take either beta file, and scrub the damage meter in the browser (#236)",integration-reviewed,,Browser scrubber inherited short/ASCII-only discovery; reproduced and corrected (W10).
cee0bab48ab04db3253ddd010881e8e799037f98,2026-09-19T06:20:04Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
da09e5277ea5d0e4ec324e686720ba3f1f58e851,2026-09-19T17:51:36+10:00,inherited,"feat(site): one button per file, side by side (#237)",integration-reviewed,,Scrub-page controls reviewed; misleading inert upload controls removed in W10.
f2253e4d2c29cc16ee122d604ada29b68a15f390,2026-09-19T07:51:53Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
619e3d94b0b20906d1c341a657ee08b6fce9d388,2026-09-19T18:26:29+10:00,inherited,"fix(site): lay the scrub page out properly, and make it work on a phone (#238)",integration-reviewed,,Scrub layout reviewed; targeted browser regression verifies the corrected local-only workflow.
e746e9a3c336ae2840d490130c41cf9c4f40abff,2026-09-19T08:26:48Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
9a7c5ec9ee8de9717bcde6e8a1391ee7b8150c2a,2026-09-19T18:51:52+10:00,inherited,"feat: take the files directly, no GitHub account needed (#239)",integration-reviewed,,Upstream upload backend is not enabled on this fork. Remaining upload UI promises removed; local scrub privacy limits made explicit (W10).
099b52009465db5cc51d74cd728de28b3fcbc690,2026-09-19T08:52:08Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
1c8d302ce1a07efb73570f6fdb4f7e5b5c30f1a3,2026-09-19T19:04:45+10:00,inherited,docs(site): say that the damage meter file is not always there (#240),integration-reviewed,,Cache-availability help is not used as a claim about engine mechanics; local-only/privacy wording corrected.
a7622df37e2d046010cc207cf6da3419f5c9ba9b,2026-09-19T09:05:05Z,inherited,chore(changelog): record merged pull requests,changelog-only-no-engine-change,,
79fcaeccb2f7b350e3bd2b5fc5c9bdda9aacdb3d,2026-09-21T08:50:11+08:00,local,Implement Forever DPS benchmarks and equipment sensitivities,engine-reviewed,fixed; later models supersede,Source/API/rank integration reviewed cumulatively across all classes. W3 utility schools and W8 missing intrinsic Block correct omissions. Historical paid-hit/real-gear outputs are not current defaults.
91bba4199ac8cbac98d3bddba145706325643f90,2026-09-21T09:07:09+08:00,local,Preserve Forever cross-faction buffs in browser replays,integration-reviewed,,Cross-faction settings and ruleset event handling reviewed; imported values are preserved.
15d28d946e4578b207bfe430e62f4c6bd3b930c9,2026-09-21T21:56:11+08:00,local,Correct Forever equipment search and ranked simulator defaults,engine-reviewed,fixed,Equipment catalog/compiler and no-Shaman-DW paths checked. W4 closes native armor ceiling bypass; W11 enables nine sourced passive set bonuses. Healing inference was subsequently removed.
29a06bce2037b5ff4bbe945a24bed45d1b8048af,2026-09-21T22:10:27+08:00,local,Preserve simulated enchant choices in final benchmark replays,integration-reviewed,,Retaining legal simulated enchants is correct. Its then-current healing fallback was subsequently removed; current seed score and engine contain no blanket conversion.
c65503774c552d69d0dadc0aa059d461f4f1ed65,2026-09-22T15:09:28+08:00,local,Correct Forever mechanics and publish audited DPS benchmarks,engine-reviewed,fixed; approved assumptions retained,"Mage consumption, Elemental allocation, explicit healing/SP effects and mana fixes retain their regressions/source records. W9 fixes its new database-test invocation conflict; W3 covers missed utility schools."
3bf6108504b03de78cb9a13dbc8c420ca0c061b3,2026-09-22T15:15:52+08:00,local,Preserve raw client rating-table provenance across checkouts,integration-reviewed,,Raw rating-table newline preservation reviewed; no stat/mechanic change.
